name,nobjquadnegev,nintvars,nnlvars,nsos1,nsos2,conscurvature,njacobiannz,nlaghessiandiagnz,ncontvars,nquadfunc,laghessianmaxblocksize,objsense,nbinvars,nlnz,convex,nz,nobjquadposev,laghessianminblocksize,nobjquadnz,solsource,nlaghessianblocks,donor,nsemi,nlaghessiannz,laghessianavgblocksize,ncons,nconcavenlcons,nnlbinvars,nconvexnlcons,nquadcons,nvars,nobjnlnz,solinfeasibility,objcurvature,nindefinitenlcons,nnlintvars,ndiagquadcons,nnlsemi,nobjnz,nlincons,nsingleboundedvars,nlinfunc,nboundedvars,njacobiannlnz,nobjquaddiagnz,objtype,probtype,solobjvalue,nnlfunc,density,nldensity,objquaddensity,objquadproblevfrac
QPLIB_0018,24,0,50,0,0,linear,50,50,50,1,50,min,0,50,False,100,26,50,1275,,1,Andrea Scozzari,0,2500,50.0,1,0,0,0,0,50,50,2.220446049e-16,indefinite,0,0,0,0,50,1,50,1,0,0,50,quadratic,QCL,-6.386014982,1,1.0,1.0,1.0,0.48
QPLIB_0031,11,0,30,0,0,linear,120,30,30,1,30,min,30,30,False,150,19,30,464,Solution found by ALPHAECP,1,Andrea Scozzari,0,898,30.0,32,0,0,0,0,60,30,0.0,indefinite,0,0,0,0,30,32,30,32,0,0,30,quadratic,QML,15.38637379,1,0.0757575757576,1.0,0.997777777778,0.183333333333
QPLIB_0032,25,0,50,0,0,linear,200,50,50,1,50,min,50,50,False,250,25,50,1274,Solution found by ALPHAECP,1,Andrea Scozzari,0,2498,50.0,52,0,0,0,0,100,50,0.0,indefinite,0,0,0,0,50,52,50,52,0,0,50,quadratic,QML,10.12639121,1,0.0471698113208,1.0,0.9992,0.25
QPLIB_0067,38,0,80,0,0,linear,80,0,0,1,80,min,80,80,False,160,42,80,2844,Solution found by SCIP,1,Ghaddar,0,5688,80.0,1,0,80,0,0,80,80,0.0,indefinite,0,0,0,0,80,1,0,1,0,0,0,quadratic,QBL,-110942.0,1,1.0,1.0,0.88875,0.475
QPLIB_0343,24,0,50,0,0,linear,50,50,50,1,50,min,0,50,False,100,26,50,1275,Solution found by SCIP,1,Leo Liberti,0,2500,50.0,1,0,0,0,0,50,50,0.0,indefinite,0,0,0,0,50,1,0,1,50,0,50,quadratic,QCL,-6.386014982,1,1.0,1.0,1.0,0.48
QPLIB_0633,44,0,75,0,0,linear,75,0,0,1,75,min,75,75,False,150,31,75,2775,Solution found by LOCALSOLVER,1,Lima and Grossmann,0,5550,75.0,1,0,75,0,0,75,75,0.0,indefinite,0,0,0,0,75,1,0,1,0,0,0,quadratic,QBL,79.56070622,1,1.0,1.0,0.986666666667,0.586666666667
QPLIB_0678,0,0,1697,0,0,indefinite,39160,0,5537,960,1697,min,9600,4700,False,40120,0,1697,0,,1,MacMinlp,0,7480,1697.0,8417,0,0,0,960,15137,0,,linear,960,0,0,0,960,7457,0,7458,737,4700,0,linear,LMQ,,960,0.000314856158215,0.00288499312512,0.0,0.0
QPLIB_0681,0,0,100,0,0,indefinite,1647,0,143,48,10,max,72,512,False,1789,0,5,0,Solution found by SCIP,12,Maria Saumell,0,416,8.333333,467,0,0,0,48,215,0,1.749405308e-11,linear,48,0,0,0,142,419,0,420,100,512,0,linear,LMQ,45.24444817,48,0.0177797654542,0.106666666667,0.0,0.0
QPLIB_0682,0,0,148,0,0,indefinite,2468,0,190,96,14,max,71,1024,False,2608,0,9,0,Solution found by SCIP,12,Maria Saumell,0,832,12.333333,597,0,0,0,96,261,0,5.975234847e-15,linear,96,0,0,0,140,501,0,502,148,1024,0,linear,LMQ,39.6096563,96,0.016709593921,0.0720720720721,0.0,0.0
QPLIB_0684,0,0,204,0,0,indefinite,3710,0,260,128,14,max,101,1504,False,3912,0,9,0,Solution found by ANTIGONE,16,Maria Saumell,0,1216,12.75,943,0,0,0,128,361,0,3.219646771e-15,linear,128,0,0,0,202,815,0,816,204,1504,0,linear,LMQ,9.2266,128,0.011479412179,0.0575980392157,0.0,0.0
QPLIB_0685,0,0,364,0,0,indefinite,6979,0,519,192,12,max,256,2568,False,7475,0,7,0,,32,Maria Saumell,0,2064,11.375,1795,0,0,0,192,775,0,,linear,192,0,0,0,496,1603,0,1604,364,2568,0,linear,LMQ,,192,0.00537035706588,0.0367445054945,0.0,0.0
QPLIB_0686,0,0,1100,0,0,indefinite,21551,0,1512,640,14,max,692,9184,False,22837,0,9,0,,80,Maria Saumell,0,7360,13.75,5080,0,0,0,640,2204,0,,linear,640,0,0,0,1286,4440,0,4441,1100,9184,0,linear,LMQ,,640,0.00203928660598,0.0130454545455,0.0,0.0
QPLIB_0687,0,0,1260,0,0,indefinite,25199,0,1651,800,16,max,672,11480,False,26445,0,11,0,,80,Maria Saumell,0,9200,15.75,5675,0,0,0,800,2323,0,,linear,800,0,0,0,1246,4875,0,4876,1260,11480,0,linear,LMQ,,800,0.00200563534614,0.0113888888889,0.0,0.0
QPLIB_0688,0,0,3128,0,0,indefinite,92143,0,3824,1600,20,max,1964,41200,False,95695,0,11,0,,160,Maria Saumell,0,30560,19.55,22168,0,0,0,1600,5788,0,,linear,1600,0,0,0,3552,20568,0,20569,3128,41200,0,linear,LMQ,,1600,0.000745786677406,0.0082320971867,0.0,0.0
QPLIB_0689,0,0,804,0,0,indefinite,32023,0,1112,288,20,max,756,8568,False,33363,0,7,0,Solution found by SCIP,48,Maria Saumell,0,6192,16.75,10088,0,0,0,288,1868,0,3.330669074e-16,linear,288,0,0,0,1340,9800,0,9801,804,8568,0,linear,LMQ,112.42,288,0.00177027241279,0.0370024875622,0.0,0.0
QPLIB_0690,0,0,8688,0,0,indefinite,407245,0,10048,3200,28,max,6428,155360,False,419104,0,11,0,Solution found by ALPHAECP,320,Maria Saumell,0,109760,27.15,115600,0,0,0,3200,16476,0,4.440892099e-16,linear,3200,0,0,0,11859,112400,0,112401,8688,155360,0,linear,LMQ,226.49,3200,0.000220043442955,0.00558816758748,0.0,0.0
QPLIB_0696,0,0,130,0,0,indefinite,2427,0,207,33,13,min,187,930,False,2791,0,13,0,Solution found by ANTIGONE,10,MINLPLIB,0,600,13.0,423,0,0,0,33,394,0,7.275957614e-12,linear,33,0,0,0,364,390,0,391,130,930,0,linear,LMQ,1091160.649,33,0.0167069725122,0.216783216783,0.0,0.0
QPLIB_0698,0,0,28,0,0,indefinite,633,0,63,15,7,min,55,156,False,739,0,7,0,Solution found by LINDO,4,MINLPLIB,0,96,7.0,141,0,0,0,15,118,0,1.673470251e-10,linear,15,0,0,0,106,126,0,127,28,156,0,linear,LMQ,1086187.137,15,0.0441036046789,0.371428571429,0.0,0.0
QPLIB_0752,125,0,250,0,0,linear,250,20,0,1,250,max,250,250,False,500,125,250,3134,Solution found by GUROBI,1,Nick Sahinidis,0,6248,250.0,1,0,250,0,0,250,250,0.0,indefinite,0,0,0,0,250,1,0,1,0,0,20,quadratic,QBL,24071.0,1,1.0,1.0,0.099968,0.5
QPLIB_0911,22,0,50,0,0,indefinite,2500,50,50,51,50,min,0,2550,False,2550,28,50,650,Solution found by SCIP,1,Nick Sahinidis,0,2500,50.0,50,0,0,0,50,50,50,0.0,indefinite,50,0,0,0,50,0,0,0,50,2500,38,quadratic,QCQ,-32.14755832,51,1.0,1.0,0.5048,0.44
QPLIB_0975,25,0,50,0,0,indefinite,500,50,50,11,50,min,0,550,False,550,25,50,650,Solution found by ANTIGONE,1,Nick Sahinidis,0,2500,50.0,10,0,0,0,10,50,50,0.0,indefinite,10,0,0,0,50,0,0,0,50,500,34,quadratic,QCQ,-37.85351052,11,1.0,1.0,0.5064,0.5
QPLIB_10001,0,0,485,0,0,convex,1499,485,59,1,266,min,426,485,True,1925,0,1,0,Solution found by BARON,28,Pietro Belotti,0,15359,17.321429,296,0,426,1,1,485,0,0.0,linear,0,0,0,0,426,295,0,296,59,485,0,linear,LMC,-25766.82,1,0.0133638793433,1.0,0.0,0.0
QPLIB_10002,0,0,485,0,0,convex,1499,485,59,1,266,min,426,485,True,1925,0,1,0,Solution found by BARON,28,Pietro Belotti,0,15359,17.321429,296,0,426,1,1,485,0,0.0,linear,0,0,0,0,426,295,0,296,59,485,0,linear,LMC,-21931.57,1,0.0133638793433,1.0,0.0,0.0
QPLIB_10003,0,0,1058,0,0,convex,3787,1058,59,1,600,min,999,1058,True,4786,0,1,0,Solution found by GUROBI,28,Pietro Belotti,0,101472,37.785714,867,0,999,1,1,1058,0,0.0,linear,0,0,0,0,999,866,0,867,59,1058,0,linear,LMC,-21944.87,1,0.00521155471152,1.0,0.0,0.0
QPLIB_10004,0,0,400,0,0,convex,748,400,250,1,400,min,150,400,True,898,0,400,0,Solution found by BARON,1,Pietro Belotti,0,102108,400.0,101,0,150,1,1,400,0,0.0,linear,0,0,0,0,150,100,0,101,250,400,0,linear,LMC,-2588.21,1,0.0220098039216,1.0,0.0,0.0
QPLIB_10005,0,0,2000,0,0,convex,4584,2000,1000,1,2000,min,1000,2000,True,5584,0,2000,0,Solution found by GUROBI,1,Pietro Belotti,0,1825420,2000.0,794,0,1000,1,1,2000,0,0.0,linear,0,0,0,0,1000,793,0,794,1000,2000,0,linear,LMC,-9820.91,1,0.00351194968553,1.0,0.0,0.0
